"replicate","temperature","control","chamber","date_offered_meat","date_larvae_transferred_to_treatment","date_first_pupa","species_first_emerged","date_first_emerged","species_second_emerged","date_second_emerged","final_number_observed_sericata","final_number_observed_vicina","number_in_ethanol_sericata","number_in_ethanol_vicina","number_missing_from_ethanol_sericata","number_missing_from_ethanol_vicina","number_sericata_males","number_sericata_females","number_vicina_males","number_vicina_females","average_body_length_males_lucilia","average_body_length_females_lucilia","average_body_length_males_vicina","average_body_length_females_vicina","Notes","Notes2"
"LS10-22°C-5",22,"control","insectarium","8.11.25","11.11.25","16.11.25","sericata","29.11.2025","N/A","N/A",9,0,8,"N/A",1,"N/A",5,4,"N/A","N/A",3.77,4.15,"N/A","N/A","falcon tubes",
"LS20-22°C-1",22,"control","insectarium","8.11.25","11.11.25","16.11.25","sericata","29.11.2025","N/A","N/A",20,0,20,"N/A",0,"N/A",11,9,"N/A","N/A",4.27,4.28,"N/A","N/A","eppendorf tubes in box",
"LS20-22°C-2",22,"control","insectarium","8.11.25","11.11.25","16.11.25","sericata","28.11.2025","N/A","N/A",20,0,20,"N/A",0,"N/A",10,10,"N/A","N/A",4.07,4.32,"N/A","N/A","eppendorf tubes in box",
"LS20-22°C-3",22,"control","insectarium","8.11.25","11.11.25","16.11.25","sericata","29.11.2025","N/A","N/A",20,0,20,"N/A",0,"N/A",11,9,"N/A","N/A",4.02,4.37,"N/A","N/A","eppendorf tubes in box",
"LS20-22°C-4",22,"control","insectarium","8.11.25","11.11.25","16.11.25","sericata","29.11.2025","N/A","N/A",18,0,18,"N/A",0,"N/A",13,5,"N/A","N/A",4.14,4.28,"N/A","N/A","eppendorf tubes in box",
"LS20-22°C-5",22,"control","insectarium","8.11.25","11.11.25","16.11.25","sericata","29.11.2025","N/A","N/A",20,0,20,"N/A",0,"N/A",14,8,"N/A","N/A",4.16,4.5,"N/A","N/A","eppendorf tubes in box",
"CV10-22°C-1",22,"control","insectarium","8.11.25","11.11.25","16.11.25","vicina","28.11.2025","N/A","N/A",0,8,"N/A",8,"N/A",0,"N/A","N/A",4,4,"N/A","N/A",4.96,5.24,"eppendorf tubes in box",
"CV10-22°C-2",22,"control","insectarium","8.11.25","11.11.25","16.11.25","vicina","28.11.2025","N/A","N/A",0,8,"N/A",8,"N/A",0,"N/A","N/A",6,2,"N/A","N/A",5.12,5.22,"eppendorf tubes in box",
"CV10-22°C-3",22,"control","insectarium","8.11.25","11.11.25","16.11.25","vicina","28.11.2025","N/A","N/A",0,10,"N/A",10,"N/A",0,"N/A","N/A",3,7,"N/A","N/A",5.19,5.19,"eppendorf tubes in box",
"CV10-22°C-4",22,"control","insectarium","8.11.25","11.11.25","16.11.25","vicina","28.11.2025","N/A","N/A",0,5,"N/A",2,"N/A",3,"N/A","N/A",0,2,"N/A","N/A","N/A",5,"eppendorf tubes in box","Not sure where missing individuals went; no males and only two females used for for body size average "
"CV10-22°C-5",22,"control","insectarium","8.11.25","11.11.25","16.11.25","vicina","28.11.2025","N/A","N/A",0,4,"N/A",4,"N/A",0,"N/A","N/A",1,3,"N/A","N/A",5,5.04,"eppendorf tubes in box","Only one male used for body size average"
"CV20-22°C-1",22,"control","insectarium","8.11.25","11.11.25","16.11.25","vicina","28.11.2025","N/A","N/A",0,11,"N/A",11,"N/A",0,"N/A","N/A",3,8,"N/A","N/A",4.46,4.73,"falcon tubes in rack",
"CV20-22°C-2",22,"control","insectarium","8.11.25","11.11.25","16.11.25","vicina","28.11.2025","N/A","N/A",0,16,"N/A",16,"N/A",0,"N/A","N/A",4,12,"N/A","N/A",4.72,5,"falcon tubes in rack",
"CV20-22°C-3",22,"control","insectarium","8.11.25","11.11.25","16.11.25","vicina","28.11.2025","N/A","N/A",0,16,"N/A",16,"N/A",0,"N/A","N/A",8,8,"N/A","N/A",4.91,5.29,"falcon tubes in rack",
"CV20-22°C-4",22,"control","insectarium","8.11.25","11.11.25","16.11.25","vicina","28.11.2025","N/A","N/A",0,19,"N/A",19,"N/A",0,"N/A","N/A",9,10,"N/A","N/A",5.16,4.99,"falcon tubes in rack",
"CV20-22°C-5",22,"control","insectarium","8.11.25","11.11.25","16.11.25","vicina","28.11.2025","N/A","N/A",0,20,"N/A",20,"N/A",0,"N/A","N/A",12,8,"N/A","N/A",5.04,5.1,"falcon tubes in rack",
"25°C-1",25,"treatment",3,"8.11.25","11.11.25","16.11.25","sericata","24.11.2025","vicina","27.11.2025",10,4,9,4,1,0,6,4,2,2,3.77,4.05,4.55,4,"eppendorf tubes in box","One sericata male escaped fecundity cage; only two vicina males used for body size average"
"25°C-2",25,"treatment",3,"8.11.25","11.11.25","16.11.25","sericata","23.11.2025","vicina","28.11.2025",10,3,6,3,4,0,5,1,3,0,3.59,4.2,4.56,"N/A","eppendorf tubes in box","Not enough vicina females to do any body size average;"
"25°C-3",25,"treatment",3,"8.11.25","11.11.25","16.11.25","sericata","24.11.2025","vicina","26.11.2025",10,1,10,1,0,0,5,5,1,0,4,3.62,4.41,"N/A","eppendorf tubes in box","Only 1 male vicina, no females for body sizing"
"25°C-4",25,"treatment",3,"8.11.25","11.11.25","16.11.25","sericata","24.11.2025","vicina","26.11.2025",9,1,8,0,1,1,3,6,0,0,4.32,4,"N/A","N/A","eppendorf tubes in box","1 LS male escaped fecundity cage; not sure where vicina individual ended up; not enough vicina individuals to do any body sizing"
"25°C-5",25,"treatment",3,"8.11.25","11.11.25","16.11.25","sericata","24.11.2025","vicina","29.11.2025",9,2,9,2,0,0,0,9,1,1,"N/A",3.72,4.66,4.48,"eppendorf tubes in box","No Lucilia males; only 1 male and 1 female vicina (for body sizing)"
"25°C-7",25,"treatment",3,"8.11.25","11.11.25","16.11.25","sericata","24.11.2025","vicina","30.11.2025",10,1,10,0,0,1,4,8,0,0,3.78,3.98,"N/A","N/A","eppendorf tubes in box","Not sure where the vicina individual ended up (thus no body sizing)"
"30°C-1",30,"treatment",4,"8.11.25","11.11.25","15.11.25","sericata","20.11.2025","N/A","N/A",10,0,10,0,0,0,3,7,0,0,3.63,3.61,"N/A","N/A","eppendorf tubes in box",
"30°C-2",30,"treatment",4,"8.11.25","11.11.25","15.11.25","sericata","20.11.2025","N/A","N/A",10,0,10,0,0,0,7,3,0,0,3.69,3.63,"N/A","N/A","eppendorf tubes in box",
"30°C-3",30,"treatment",4,"8.11.25","11.11.25","15.11.25","sericata","20.11.2025","N/A","N/A",10,0,10,0,0,0,3,7,0,0,3.52,3.59,"N/A","N/A","eppendorf tubes in box",
"30°C-4",30,"treatment",4,"8.11.25","11.11.25","15.11.25","sericata","20.11.2025","N/A","N/A",10,0,10,0,0,0,6,4,0,0,3.81,4.1,"N/A","N/A","eppendorf tubes in box",
"30°C-5",30,"treatment",4,"8.11.25","11.11.25","15.11.25","sericata","20.11.2025","N/A","N/A",9,0,9,0,0,0,2,7,0,0,3.53,4.05,"N/A","N/A","eppendorf tubes in box","Only two Lucilia males used for body sizing"
"30°C-6",30,"treatment",4,"8.11.25","11.11.25","15.11.25","sericata","20.11.2025","N/A","N/A",10,0,10,0,0,0,7,3,0,0,3.81,3.84,"N/A","N/A","eppendorf tubes in box",
"30°C-7",30,"treatment",4,"8.11.25","11.11.25","15.11.25","sericata","20.11.2025","N/A","N/A",10,0,10,0,0,0,3,7,0,0,3.86,4.02,"N/A","N/A","eppendorf tubes in box",
